Total 2014,Population,Unemployment,Employment,Earnings,Burglary,Robbery,Theft
Durham,744885,43888,519016,2076.1,275,35,1810
North Yorkshire,497473,14573,399518,2076.1,245,34,1769
South Yorkshire,872147,52666,623047,2076.1,521,129,4182
GreaterManchester,1758489,91474,1248835,2090.833333,1068,419,5810
Cheshire,564866,15506,442355,2090.833333,330,54,2434
Lancashire,914431,32571,661181,2090.833333,828,216,3926
Derbyshire,1363276,58505,1017449,2067.866667,306,99,2212
Leicestershire,1116792,42995,852225,2067.866667,246,98,1790
Lincolnshire,443129,16094,346350,2067.866667,219,37,1464
Warwickshire,341955,6248,279239,2076.1,156,18,872
West Midlands,1773203,110820,1163874,2076.1,974,603,6741
Essex,1095125,45646,859302,2191.8,453,101,3148
Hertfordshire,730237,27164,586693,2191.8,303,78,2073
Suffolk,442068,15270,353328,2191.8,169,30,1310
Metropolitan and City,5823490,303751,4289791,2862.166667,2798,1956,15547
Thames Valley,1490187,50770,1197830,2346.066667,561,167,3819
Hampshire,1213948,41012,987919,2346.066667,426,101,3670
Kent,1103306,51108,828102,2346.066667,552,139,3852
Gloucestershire,378480,15847,308812,2101.666667,156,28,983
Dorset,235991,7772,195340,2101.666667,204,43,1258
