Total 2015 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft,Measurement of Theft Crime 
Durham,5843.452345,70049.60497,2096.9,Medium,Low,Medium,Medium
North Yorkshire,2584.763394,81347.73143,2091.916667,Medium,Medium,Medium,Medium
South Yorkshire,5854.345655,71508.07146,2091.916667,Medium,Medium,High,High
GreaterManchester,5097.160119,71540.25416,2104.483333,Medium,Medium,Medium,Medium
Cheshire,2796.326916,78456.66052,2104.483333,Medium,Medium,High,Medium
Lancashire,3450.178308,73759.80254,2104.483333,High,High,Medium,High
Derbyshire,3923.013388,75443.16045,2071.983334,Low,Medium,Low,Low
Leicestershire,3513.008689,77046.71058,2071.983334,Low,Medium,Low,Low
Lincolnshire,4028.510885,77281.44626,2071.983334,Medium,Medium,Medium,Medium
Warwickshire,1902.297086,80993.11313,2106.433334,Medium,Medium,Medium,Medium
West Midlands,5969.592878,65848.18546,2106.433334,Medium,High,High,High
Essex,3846.684168,79054.53715,2217.15,Medium,Medium,Medium,Medium
Hertfordshire,3214.161978,81700.32469,2217.15,Medium,Medium,Medium,Medium
Suffolk,3271.894822,79622.02648,2217.15,Medium,Medium,Medium,Medium
Metropolitan and City,5034.223464,74778.0283,2860.866667,Medium,High,Medium,Medium
Thames Valley,3319.247853,81129.88504,2369.25,Medium,Medium,Medium,Medium
Hampshire,3419.42159,81194.54046,2369.25,Medium,Medium,Medium,Medium
Kent,4672.457142,76089.13574,2369.25,Medium,Medium,Medium,Medium
Gloucestershire,3917.380047,82369.3458,2118.566667,Medium,Medium,Medium,Medium
Dorset,3404.578988,82092.96117,2118.566667,High,Medium,High,High
