Total 2015 Per-Capita,Unemployment,Employment,Earnings,Burglary,Robbery,Theft,Combined
Durham,High,Low,2096.9,3.186453848,0.372610637,18.74025375,22.29931824
North Yorkshire,Low,Medium,2091.916667,4.004993206,0.540823581,27.95239423,32.49821102
South Yorkshire,High,Low,2091.916667,5.060436981,1.211671813,37.59290002,43.86500881
GreaterManchester,High,Low,2104.483333,4.777475653,1.89898136,25.38911682,32.06557383
Cheshire,Low,Medium,2104.483333,4.665771544,0.808183475,33.84894217,39.32289719
Lancashire,Medium,Medium,2104.483333,7.055693062,1.913004388,32.81623333,41.78493078
Derbyshire,Medium,Medium,2071.983334,1.697078434,0.564262879,12.47070067,14.73204198
Leicestershire,Medium,Medium,2071.983334,1.873743573,0.601245143,12.68073781,15.15572653
Lincolnshire,Medium,Low,2071.983334,4.011583106,0.637467118,27.15242912,31.80147934
Warwickshire,Low,Medium,2106.433334,3.242385688,0.673763593,20.57283341,24.48898269
West Midlands,High,Low,2106.433334,4.422160238,2.746688623,33.54422576,40.71307462
Essex,Medium,Medium,2217.15,3.136800362,0.80598678,21.1426112,25.08539834
Hertfordshire,Medium,Medium,2217.15,3.130476422,0.89353193,22.20287426,26.22688261
Suffolk,Medium,Medium,2217.15,2.657962106,0.607954985,22.41037485,25.67629194
Metropolitan and City,Medium,Medium,2860.866667,3.922622116,2.348366083,20.87223783,27.14322603
Thames Valley,Medium,Medium,2369.25,2.805436505,0.869478802,20.525305,24.20022031
Hampshire,Medium,Medium,2369.25,3.003733679,0.729238778,22.71555557,26.44852803
Kent,Medium,Medium,2369.25,4.066896435,0.961661549,25.68605865,30.71461663
Gloucestershire,Medium,High,2118.566667,3.456246162,0.689153593,21.34320489,25.48860465
Dorset,Medium,High,2118.566667,6.574962352,1.191110135,45.26252113,53.02859362
