,Unemployment,Employment,Earnings,,Burglary_Log,Robbery_SQRT,Theft,Combined-Log
Durham,5843.452345,70049.60497,2096.9,,1.158909,0.610418,,3.104556
North Yorkshire,2584.763394,81347.73143,2091.916667,,1.387542,0.735407,,3.481185
South Yorkshire,5854.345655,71508.07146,2091.916667,,1.621453,1.10076,,3.781117
GreaterManchester,5097.160119,71540.25416,2104.483333,,1.563912,1.378035,,3.467783
Cheshire,2796.326916,78456.66052,2104.483333,,1.540253,0.89899,,3.671807
Lancashire,3450.178308,73759.80254,2104.483333,,1.953835,1.383114,,3.732536
Derbyshire,3923.013388,75443.16045,2071.983334,,0.528908,0.751174,,2.690025
Leicestershire,3513.008689,77046.71058,2071.983334,,0.627938,0.7754,,2.718378
Lincolnshire,4028.510885,77281.44626,2071.983334,,1.389186,0.798415,,3.459513
Warwickshire,1902.297086,80993.11313,2106.433334,,1.176309,0.820831,,3.198223
West Midlands,5969.592878,65848.18546,2106.433334,,1.486628,1.657314,,3.706549
Essex,3846.684168,79054.53715,2217.15,,1.143203,0.897768,,3.222286
Hertfordshire,3214.161978,81700.32469,2217.15,,1.141185,0.945268,,3.266785
Suffolk,3271.894822,79622.02648,2217.15,,0.97756,0.779715,,3.245568
Metropolitan and City,5034.223464,74778.0283,2860.866667,,1.36676,1.532438,,3.301128
Thames Valley,3319.247853,81129.88504,2369.25,,1.031559,0.932458,,3.186362
Hampshire,3419.42159,81194.54046,2369.25,,1.099856,0.853955,,3.275201
Kent,4672.457142,76089.13574,2369.25,,1.40288,0.980643,,3.424739
Gloucestershire,3917.380047,82369.3458,2118.566667,,1.240183,0.830153,,3.238231
Dorset,3404.578988,82092.96117,2118.566667,,1.883269,1.09138,,3.970831
