,Unemployment,Employment,Income,Robbery
1,5843.452345,70049.60497,2096.9,0.372610637
2,2584.763394,81347.73143,2091.916667,0.540823581
3,5854.345655,71508.07146,2091.916667,1.211671813
4,5097.160119,71540.25416,2104.483333,1.89898136
5,2796.326916,78456.66052,2104.483333,0.808183475
6,3450.178308,73759.80254,2104.483333,1.913004388
7,3923.013388,75443.16045,2071.983334,0.564262879
8,3513.008689,77046.71058,2071.983334,0.601245143
9,4028.510885,77281.44626,2071.983334,0.637467118
10,1902.297086,80993.11313,2106.433334,0.673763593
11,5969.592878,65848.18546,2106.433334,2.746688623
12,3846.684168,79054.53715,2217.15,0.80598678
13,3214.161978,81700.32469,2217.15,0.89353193
14,3271.894822,79622.02648,2217.15,0.607954985
15,5034.223464,74778.0283,2860.866667,2.348366083
16,3319.247853,81129.88504,2369.25,0.869478802
17,3419.42159,81194.54046,2369.25,0.729238778
18,4672.457142,76089.13574,2369.25,0.961661549
19,3917.380047,82369.3458,2118.566667,0.689153593
20,3404.578988,82092.96117,2118.566667,1.191110135
