Total 2014 Per-Capita,Unemployment,Earnings,Burglary,Robbery,Theft,Combined
Durham,High,2076.1,36.9184505,4.698711882,242.9905287,284.6076911
North Yorkshire,Low,2076.1,49.24890396,6.834541774,355.5971882,411.6806339
South Yorkshire,High,2076.1,59.73763597,14.79108453,479.5063218,554.0350423
GreaterManchester,High,2090.833333,60.73395967,23.82727444,330.3972899,414.9585241
Cheshire,Low,2090.833333,58.42093523,9.559789401,430.8986556,498.8793802
Lancashire,Medium,2090.833333,90.54811134,23.62124644,429.3380255,543.5073833
Derbyshire,Medium,2067.866667,22.44593171,7.261919083,162.2562122,191.964063
Leicestershire,Medium,2067.866667,22.02737842,8.775134492,160.2805178,191.0830307
Lincolnshire,Medium,2067.866667,49.42127462,8.349713063,330.3778358,388.1488235
Warwickshire,Low,2076.1,45.62003772,5.263850507,255.0043134,305.8882017
West Midlands,High,2076.1,54.92884909,34.00625873,380.1595192,469.0946271
Essex,Medium,2191.8,41.36514097,9.222691474,287.4557699,338.0436023
Hertfordshire,Medium,2191.8,41.49337818,10.68146369,283.8804388,336.0552807
Suffolk,Medium,2191.8,38.22941267,6.786286273,296.3345006,341.3501995
Metropolitan and City,High,2862.166667,48.04678981,33.5881061,266.9704936,348.6053896
Thames Valley,Medium,2346.066667,37.64628198,11.20664722,256.2765613,305.1294905
Hampshire,Medium,2346.066667,35.09211268,8.319960987,302.3193745,345.7314481
Kent,Medium,2346.066667,50.03145093,12.59849942,349.1325163,411.7624666
Gloucestershire,Medium,2101.666667,41.21750159,7.398013105,259.7231029,308.3386176
Dorset,Medium,2101.666667,86.44397456,18.22103385,533.0711764,637.7361849
